Задача,Ссылка,Время,Тэги
Требуется react-разработчик,https://freelance.habr.com/tasks/496101,12:17,"react, frontend, react.js"
Разработать шаблоны страниц на Тильде с учетом технического задания,https://freelance.habr.com/tasks/496099,12:17,"аналитика, конструктор сайтов на тильде, работа в фигме, tilda, figma"
Разработка парсера видео с сайта Youtube.com,https://freelance.habr.com/tasks/494569,12:17,yii
"Backend и Frontend разработка (Ruby, react)",https://freelance.habr.com/tasks/496097,12:17,"ruby, react"
Требуется автоматизировать добавление контактов в группу телеграмм,https://freelance.habr.com/tasks/496095,12:17,пунктуальность
Разработать дизайн,https://freelance.habr.com/tasks/496093,12:17,"анимации, figma"
Натянуть верстку на WordPress + есть самописные страницы,https://freelance.habr.com/tasks/496091,12:17,"html, php, wordpress, css"
Create a dynamically scalable infrastructure for ML model [Python],https://freelance.habr.com/tasks/496089,12:17,"python, ml"
Выполнить ряд упражнений на C++,https://freelance.habr.com/tasks/496087,12:17,"c++, ооп"
Сделать автоматизацию по вводу seed-фраз для CoinBase Wallet,https://freelance.habr.com/tasks/496085,12:17,"автоматизация, автоматизация браузера"
